,x1,x2,x3,x4,x5,x6,x7,x8,Target
0,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,100.0,45.84
1,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14.0,36.94
2,302.0,0.0,0.0,203.0,0.0,974.0,817.0,180.0,26.74
3,393.0,0.0,0.0,192.0,0.0,940.6,785.6,3.0,19.2
4,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7.0,14.59
5,295.7,0.0,95.6,171.5,8.9,955.1,859.2,28.0,39.94
6,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.9
7,250.0,0.0,95.7,187.4,5.5,956.9,861.2,28.0,29.22
8,252.1,97.1,75.6,193.8,8.3,835.5,821.4,28.0,33.4
9,151.0,0.0,185.0,167.0,16.0,1074.0,678.0,28.0,13.46
10,277.0,0.0,0.0,191.0,0.0,968.0,856.0,3.0,11.36
11,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01
12,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270.0,50.66
13,155.0,0.0,143.0,193.0,9.0,877.0,868.0,28.0,9.74
14,194.7,0.0,100.5,165.6,7.5,1006.4,905.9,100.0,37.34
15,108.3,162.4,0.0,203.5,0.0,938.2,849.0,7.0,7.72
16,450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28.0,39.38
17,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,14.0,33.09
18,326.0,0.0,138.0,199.0,11.0,801.0,792.0,28.0,40.68
19,281.0,0.0,0.0,186.0,0.0,1104.0,774.0,7.0,14.5
20,425.0,106.3,0.0,151.4,18.6,936.0,803.7,7.0,46.8
21,277.1,0.0,97.4,160.6,11.8,973.9,875.6,28.0,48.28
22,330.5,169.6,0.0,194.9,8.1,811.0,802.3,28.0,56.62
23,277.0,0.0,0.0,191.0,0.0,968.0,856.0,360.0,33.7
24,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.2
25,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100.0,48.15
26,310.0,142.8,0.0,167.9,10.0,914.3,804.0,28.0,45.3
27,108.3,162.4,0.0,203.5,0.0,938.2,849.0,3.0,2.33
28,152.6,238.7,0.0,200.0,6.3,1001.8,683.9,28.0,26.86
29,250.0,0.0,95.7,187.4,5.5,956.9,861.2,14.0,24.92
30,194.7,0.0,100.5,165.6,7.5,1006.4,905.9,14.0,24.99
