,x1,x2,x3,x4,x5,x6,x7,x8,Target
0,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,14.0,1
1,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,90.0,1
2,388.6,97.1,0.0,157.9,12.1,852.1,925.7,56.0,1
3,239.6,359.4,0.0,185.7,0.0,941.6,664.3,7.0,1
4,446.0,24.0,79.0,162.0,11.6,967.0,712.0,28.0,1
5,275.0,0.0,0.0,183.0,0.0,1088.0,808.0,7.0,1
6,141.9,166.6,129.7,173.5,10.9,882.6,785.3,28.0,1
7,310.0,0.0,0.0,192.0,0.0,970.0,850.0,28.0,1
8,156.0,243.0,0.0,180.0,11.0,1022.0,698.0,28.0,1
9,250.0,0.0,95.7,187.4,5.5,956.9,861.2,28.0,1
10,213.5,0.0,174.2,154.6,11.7,1052.3,775.5,14.0,1
11,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180.0,1
12,192.0,288.0,0.0,192.0,0.0,929.8,716.1,7.0,1
13,281.0,0.0,0.0,186.0,0.0,1104.0,774.0,28.0,1
14,228.0,342.1,0.0,185.7,0.0,955.8,674.3,28.0,1
15,225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28.0,1
16,116.0,173.0,0.0,192.0,0.0,909.8,891.9,3.0,1
17,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,28.0,1
18,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100.0,1
19,277.0,0.0,0.0,191.0,0.0,968.0,856.0,90.0,1
20,277.0,0.0,0.0,191.0,0.0,968.0,856.0,360.0,1
21,108.3,162.4,0.0,203.5,0.0,938.2,849.0,28.0,1
22,375.0,0.0,0.0,186.0,0.0,1038.0,758.0,7.0,1
23,516.0,0.0,0.0,162.0,8.2,801.0,802.0,28.0,1
24,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,56.0,1
25,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,56.0,1
26,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7.0,1
27,250.0,0.0,0.0,182.0,0.0,1100.0,820.0,28.0,1
28,313.0,161.0,0.0,178.0,10.0,917.0,759.0,28.0,1
29,334.0,17.6,158.0,189.0,15.3,967.0,633.0,28.0,1
30,151.8,178.1,138.7,167.5,18.3,944.0,694.6,28.0,1
31,297.2,0.0,117.5,174.8,9.5,1022.8,753.5,3.0,1
32,310.0,142.8,0.0,167.9,10.0,914.3,804.0,28.0,1
33,382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7.0,1
34,143.6,0.0,174.9,158.4,17.9,942.7,844.5,28.0,1
35,152.7,144.7,0.0,178.1,8.0,999.7,822.2,28.0,1
36,313.3,0.0,113.0,178.5,8.0,1001.9,688.7,28.0,1
37,297.2,0.0,117.5,174.8,9.5,1022.8,753.5,100.0,1
38,186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28.0,1
39,157.0,236.0,0.0,192.0,0.0,935.4,781.2,3.0,1
40,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,56.0,1
41,451.0,0.0,0.0,165.0,11.3,1030.0,745.0,28.0,1
42,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270.0,1
43,318.8,212.5,0.0,155.7,14.3,852.1,880.4,3.0,1
44,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56.0,1
45,167.0,187.0,195.0,185.0,7.0,898.0,636.0,28.0,1
46,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,1
47,339.0,0.0,0.0,197.0,0.0,968.0,781.0,7.0,1
48,313.8,0.0,112.6,169.9,10.1,925.3,782.9,28.0,1
49,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,3.0,1
50,173.0,116.0,0.0,192.0,0.0,946.8,856.8,28.0,1
51,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3.0,1
52,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180.0,1
53,203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7.0,1
54,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90.0,1
55,516.0,0.0,0.0,162.0,8.3,801.0,802.0,28.0,1
56,475.0,118.8,0.0,181.1,8.9,852.1,781.5,56.0,1
57,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,100.0,1
58,173.0,116.0,0.0,192.0,0.0,946.8,856.8,3.0,1
59,238.1,0.0,94.1,186.7,7.0,949.9,847.0,56.0,1
60,238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7.0,1
61,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14.0,1
62,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270.0,1
63,322.0,149.0,0.0,186.0,8.0,951.0,709.0,28.0,1
64,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56.0,1
65,116.0,173.0,0.0,192.0,0.0,909.8,891.9,90.0,1
66,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14.0,1
67,296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90.0,1
68,150.7,0.0,185.3,166.7,15.6,1074.5,678.0,28.0,1
69,249.1,0.0,98.8,158.1,12.8,987.8,889.0,28.0,1
70,252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7.0,1
71,259.9,100.6,78.4,170.6,10.4,935.7,762.9,28.0,1
72,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28.0,1
73,491.0,26.0,123.0,201.0,3.9,822.0,699.0,3.0,1
74,156.0,178.0,187.0,221.0,7.0,854.0,614.0,28.0,1
75,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365.0,1
76,200.0,133.0,0.0,192.0,0.0,965.4,806.2,28.0,1
77,203.5,305.3,0.0,203.5,0.0,963.4,630.0,28.0,1
78,250.2,166.8,0.0,203.5,0.0,977.6,694.1,90.0,1
79,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270.0,1
80,153.0,145.0,0.0,178.0,8.0,1000.0,822.0,28.0,1
81,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,1
