,x1,x2,x3,x4,x5,x6,x7,x8,Target
0,213.5,0.0,174.2,154.6,11.7,1052.3,775.5,3.0,17.37
1,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3.0,14.94
2,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.29
3,148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28.0,26.92
4,250.2,166.8,0.0,203.5,0.0,977.6,694.1,3.0,9.73
5,277.0,0.0,0.0,191.0,0.0,968.0,856.0,90.0,31.25
6,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3.0,28.6
7,213.5,0.0,174.2,159.2,11.7,1043.6,771.9,100.0,52.96
8,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,120.0,38.7
9,153.0,145.0,0.0,178.0,8.0,1000.0,822.0,28.0,19.01
10,200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28.0,49.25
11,157.0,236.0,0.0,192.0,0.0,935.4,781.2,90.0,43.38
12,275.0,180.0,120.0,162.0,10.4,830.0,765.0,28.0,76.24
13,155.0,184.0,143.0,194.0,9.0,880.0,699.0,28.0,28.99
14,250.0,0.0,95.7,191.8,5.3,948.9,857.2,14.0,24.66
15,255.0,99.0,77.0,189.0,6.0,919.0,749.0,28.0,33.8
16,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.03
17,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28.0,44.09
18,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14.0,31.81
19,146.0,173.0,0.0,182.0,3.0,986.0,817.0,28.0,23.74
20,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,100.0,45.37
21,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3.0,13.36
22,164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28.0,18.03
23,198.6,132.4,0.0,192.0,0.0,978.4,825.5,7.0,14.64
24,154.8,183.4,0.0,193.3,9.1,877.2,867.7,28.0,23.79
25,531.3,0.0,0.0,141.8,28.2,852.1,893.7,28.0,56.4
