,x1,x2,x3,x4,x5,x6,x7,x8,Target
0,321.3,164.2,0.0,190.5,4.6,870.0,774.0,28.0,57.22
1,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,14.0,33.09
2,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,3.0,33.8
3,220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28.0,25.75
4,140.0,133.0,103.0,200.0,7.0,916.0,753.0,28.0,36.44
5,387.0,20.0,94.0,157.0,14.3,938.0,845.0,56.0,56.34
6,157.0,236.0,0.0,192.0,0.0,935.4,781.2,7.0,16.89
7,277.1,0.0,97.4,160.6,11.8,973.9,875.6,100.0,55.64
8,151.0,0.0,185.0,167.0,16.0,1074.0,678.0,28.0,13.46
9,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.2
10,233.8,0.0,94.6,197.9,4.6,947.0,852.2,100.0,34.56
11,158.4,0.0,194.9,219.7,11.0,897.7,712.9,28.0,8.54
12,336.0,0.0,0.0,182.0,3.0,986.0,817.0,28.0,44.86
13,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14.0,30.39
14,190.0,190.0,0.0,228.0,0.0,932.0,670.0,180.0,46.93
15,153.0,102.0,0.0,192.0,0.0,888.0,943.1,7.0,8.37
16,531.3,0.0,0.0,141.8,28.2,852.1,893.7,7.0,46.9
17,303.6,139.9,0.0,213.5,6.2,895.5,722.5,28.0,33.42
18,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28.0,33.69
19,288.0,192.0,0.0,192.0,0.0,932.0,717.8,90.0,50.53
20,475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28.0,57.23
21,250.0,0.0,95.7,191.8,5.3,948.9,857.2,100.0,41.16
22,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.99
23,290.4,0.0,96.2,168.1,9.4,961.2,865.0,56.0,45.08
24,250.0,0.0,95.7,187.4,5.5,956.9,861.2,56.0,38.33
25,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0,41.54
26,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.9
27,284.0,15.0,141.0,179.0,5.5,842.0,801.0,28.0,43.73
28,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28.0,37.43
29,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3.0,19.42
30,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28.0,63.14
31,446.0,24.0,79.0,162.0,11.6,967.0,712.0,7.0,39.3
32,238.1,0.0,94.1,186.7,7.0,949.9,847.0,28.0,30.23
33,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.24
34,316.1,210.7,0.0,185.7,0.0,977.0,689.3,7.0,24.44
35,393.0,0.0,0.0,192.0,0.0,940.6,785.6,3.0,19.2
36,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3.0,15.82
37,318.8,212.5,0.0,155.7,14.3,852.1,880.4,28.0,55.5
38,446.0,24.0,79.0,162.0,11.6,967.0,712.0,3.0,35.36
39,318.8,212.5,0.0,155.7,14.3,852.1,880.4,3.0,25.2
40,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270.0,67.11
41,236.0,0.0,0.0,194.0,0.0,968.0,885.0,14.0,12.84
42,143.7,170.2,132.6,191.6,8.5,814.1,805.3,28.0,29.87
43,255.0,0.0,0.0,192.0,0.0,889.8,945.0,3.0,8.2
44,281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28.0,22.44
45,237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0,26.26
46,322.0,149.0,0.0,186.0,8.0,951.0,709.0,28.0,52.42
47,288.4,121.0,0.0,177.4,7.0,907.9,829.5,28.0,42.14
48,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,3.0,15.44
49,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270.0,50.66
50,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100.0,39.61
51,298.0,0.0,107.0,186.0,6.0,879.0,815.0,28.0,42.64
52,296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90.0,29.39
53,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,14.0,42.22
54,325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7.0,17.54
55,388.6,97.1,0.0,157.9,12.1,852.1,925.7,3.0,28.1
56,167.0,75.4,167.0,164.0,7.9,1007.3,770.1,28.0,41.41
57,310.0,143.0,111.0,168.0,22.0,914.0,651.0,28.0,33.69
58,194.7,0.0,100.5,170.2,7.5,998.0,901.8,28.0,37.27
59,339.0,0.0,0.0,197.0,0.0,968.0,781.0,14.0,27.04
60,157.0,236.0,0.0,192.0,0.0,935.4,781.2,28.0,33.66
