,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,9,7,7,7,7,7,7,7,7,9,9,10,10,10,10,10,11,9,11,11,11,11,11,11,11,11,11,11,9,17,17,17,16,16,16,18,18,20,20,20,18,18,18,18,18,18,18,18,18,18,18,18,16,18,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,28,28,26,26,20,20,19,18,26,26,26,26,22,22,27,27,27,27,27,24,23,23,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,21,21,21,24,24,24,24,21,21,21,24,24,24,24,24,23,23,23,24,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,25,25,25,22,25,25,23,23,23,23,24,24,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,24,24,24,24,24,23,21,21,21,21,21,21,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,27,27,27,27,27,27,27,27,27,27,27,27,28,36,27,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,25,25,25,25,25,25,25,25,25,25,23,23,23,23,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,30,30,30,30,30,30,30,30,30
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,7,9,9,9,9,9,8,8,6,9,9,9,11,11,11,11,10,10,10,10,10,9,10,10,10,10,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,11,11,11,11,11,11,9,9,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,18,18,18,18,22,18,22,16,16,18,18,14,18,18,18,26,26,27,27,27,27,28,30,30,30,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,20,20,20,20,20,20,20,20,20,20,19,21,21,21,21,28,28,28,28,28,28,28,28,28,28,26,26,26,28,28,28,28,52,52,31,31,31,52,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,36,36,36,36,36,36,36,36,36,36,36,36,36,36,39,39,39,39,39,39,39,37,37,39,39,39,39,39,39,39,39,39,39,37,37,37,37,39,43,43,43,43,31,31,40,40,40,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,36,36,36,36,41,41,41,41,41,44,44,44,44,44,43,44,47,47,47,47,47,45,45,45,45,45,45,37,37,46,37,34,34,34,37,37,37,37,37,37,37,39,37,37,40,40,40,40,40,40,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,38
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,14,14,14,14,14,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,18,18,18,18,18,18,18,18,16,16,16,16,16,14,14,14,12,18,14,18,14,18,18,18,18,15,15,15,15,15,15,15,15,15,17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,15,19,19,19,19,15,15,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,15,15,15,15,14,14,16,16,16,16,16,16,16,16,16,14,16,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,25,25,25,25,20
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,5,5,5,5,5,5,6,6,6,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,7,7,9,7,7,7,7,10,7,7,11,11,11,10,8,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11,11,12,12,13,13,16,16,16,17,17,17,17,17,17,17,17,18,18,18,18,21,21,22,22,22,22,22,22,22,22,22,20,20,20,19,21,21,21,21,18,18,18,18,18,19,19,20,20,20,23,26,27,27,27,27,27,29,30,30,30,31,31,28,31,31,31,32,31,30,30,30,30,30,33,30,30,31,31,31,29,32,32,27,30,30,31,31,30,31,31,31,31,31,31,30,30,30,31,31,31,31,31,31,31,31,30,30,30,30,30,29,31,31,31,31,32,32,32,32,32,35,35,35,35,33,31,34,33,33,34,33,35,35,35,35,35,35,35,35,35,30,31,31,31,31,31,31,31,31,31,33,33,33,33,33,34,35,35,30,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,37,37,37,37,37,38,36,37,38,38,38,37,37,38,38,38,38,38,38,38,38,38,38,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,35,35,35,35,35,35,35,35,35,35,35,35,34,34,34,34,33,33,33,33,33,33,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,32,32,32,32,32,31,31,33,33,33,33,34,34,34,34,34,35,35,35,35,35,35
5,1,2,2,2,5,5,5,13,13,13,17,17,17,17,22,22,22,22,33,25,25,25,34,34,34,34,33,33,33,33,33,48,48,48,25,25,25,25,25,41,16,16,16,16,16,25,25,25,25,24,39,39,37,37,37,37,37,37,45,45,39,39,39,39,39,39,46,46,46,46,46,46,46,46,46,50,50,50,50,50,47,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,51,51,51,49,49,49,50,50,49,49,49,49,49,49,49,51,49,45,45,45,49,49,49,49,49,41,49,57,57,57,57,57,57,57,57,57,57,58,58,58,66,66,66,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,52,52,67,67,67,67,67,67,67,72,72,72,72,72,72,72,86,100,100,100,100,100,100,100,100,100,72,72,72,72,72,72,98,110,110,110,58,58,54,54,54,66,54,54,54,54,54,50,50,50,50,50,50,50,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,67,72,72,72,67,115,115,115,115,115,119,223,223,80,80,80,80,80,239,98,98,80,80,80,80,79,79,79,79,79,79,79,79,79,79,79,79,79,80,80,80,80,80,67,67,67,67,93,93,93,93,93,93,107,107,107,107,107,107,107,107,114,114,114,114,114,114,114,114,114,142,142,112,112,169,149,149,149,149,149,152,152,152,152,137,152,152,152,152,152,176,176,176,176,176,176,122,122,122,122,138,138,129,129,129,129,129,129,129,129,234,129,129,129,129,129,129,129,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,171,171,181,171,181,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,204,204,220,220,220,220,220,220,220,220,220,220,220,220,234,230,230,230,230,234,234,234,234,234,230,230,230,230,230,230,230,230,230,230,197,230,214,214,214,214,214,214,214,213,213,213,217,217,231,231,231,231,231,231,248,231,248,248,248,248,231,248,248,238,238,238,238,238,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,2,2,2,2,2,3,3,3,3,7,10,11,10,11,11,10,10,11,11,12,12,12,9,9,12,12,12,14,14,8,10,10,10,9,9,10,10,11,12,11,12,12,10,11,11,11,11,11,11,14,14,14,14,16,16,18,15,15,15,15,15,20,20,20,22,23,23,18,23,23,24,22,25,26,28,28,30,30,23,23,23,23,22,22,22,22,24,24,26,26,29,26,26,26,27,29,30,30,29,30,28,27,31,35,28,29,29,29,31,31,31,31,33,32,32,32,35,36,35,35,35,36,35,36,37,37,37,36,36,37,36,37,37,37,37,38,38,37,37,38,38,38,39,39,40,40,40,40,38,38,38,37,38,37,37,37,37,38,38,38,38,40,40,40,40,39,39,40,40,40,40,39,41,42,42,40,40,41,41,41,41,42,39,39,39,41,39,39,40,40,42,40,42,41,41,41,41,40,40,40,40,40,39,42,42,42,44,44,43,43,44,45,45,44,44,44,44,44,44,44,44,45,45,45,45,45,39,40,41,41,42,42,43,42,41,41,42,42,42,44,43,44,44,43,47,47,47,47,47,47,47,47,47,47,47,44,42,42,42,45,45,45,45,46,44,43,43,48,48,48,48,48,48,48,48,48,46,46,46,46,49,49,49,49,49,46,46,50,50,50,50,49,49,49,49,50,50,50,49,48,48,48,48,54,54,55,58,61,61,61,61,61,59,59,59,59,59,59,56,55,55,58,58,58,54,54,54,54,57,53,53,56,56,56,56,57,57,56,55,58,55,57,57,55,55,59,60,58,58,56,56,56,57,57,57,57,57,58,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61,60,60,59,58,58
7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,3,2,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,8,8,8,8,8,8,8,8,11,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,11,11,11,11,11,9,9,9,15,15,15,16,16,15,16,16,18,16,19,19,19,19,18,18,18,16,18,18,18,18,15,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,18,18,18,18,18,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,14,14,17,17,17,17,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,13,15,17,17,17,17,17,15,19,19,20,20,20,20,17,17,17,17,17,17,17,15,15,15,15,15,18,18,18,18,18,18,18,20,15,15,15,14,14,20,20,17,17,17,17,21,21,17,20,20,17,17,17,17,16,16,16,18,18,18,18,18,18,18,16,16,16,15,15,16,16,16,16,15,15,15,15,15,15,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,19,19,19,19,22,22,22,20,20,20,20,20,20,19,19,20,20,20,18,17,17,17,17,18,18,18,18,18,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,25,25,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
8,2,2,2,2,2,2,2,2,2,6,3,5,10,6,6,8,8,8,8,8,6,10,13,13,15,15,15,15,16,18,16,16,16,16,13,13,13,16,15,15,13,15,13,17,18,18,17,17,18,19,18,17,14,16,13,15,15,15,14,14,14,14,14,12,12,12,12,12,12,12,12,12,14,14,14,11,11,11,11,11,10,10,12,12,12,12,11,11,11,11,10,11,11,12,14,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,14,14,13,13,14,14,14,13,13,13,13,14,12,12,12,12,13,16,16,13,13,14,14,14,14,14,14,14,14,14,15,17,17,17,17,17,17,16,16,17,15,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,17,17,17,17,18,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,16,16,17,17,18,18,18,18,18,18,18,21,21,20,16,16,16,16,16,18,18,18,18,18,17,18,18,18,18,18,18,19,20,19,19,19,19,21,20,20,20,21,19,19,19,20,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,25,25,25,25,26,26,26,27,25,25,25,25,25,25,26,26,26,29,29,28,28,29,29,29,29,29,27,30,30,30,30,30,30,30,29,29,30,30,30,30,30,30,30,30,31,31,31,31,31,31,30,30,30,30,31,30,30,29,31,30,30,30,30,30,28,28,28,29,29,29,28,28,28,28,28,33,34,34,34,34,32,33,33,33,33,32,32,32,31,31,31,31,35,35,34,34,33,35,35,36,33,33,33,33,37,35,35,38,38,38,38,37,36,36,36,36,36,36,36,34,34,34,34,34,34,34,33,33,33,33,33,33,33,33,33,36,36,36,36,36,33,33,33,32,32,32,32,32,32,32,32,32,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,33,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,29,29,27,29,26,26,26,27,27,27,27,27,27,27,27,27,27,27,29,29,29,29,29,29,29,27,27,27,27,27
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4,5,5,5,5,7,7,6,7,7,7,7,6,8,8,5,9,9,5,5,5,6,6,6,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,10,10,10,10,10,10,11,11,11,11,11,11,10,10,10,10,10,13,13,14,12,12,16,16,15,16,16,16,15,16,18,18,16,16,15,15,15,18,16,16,17,18,20,20,20,21,21,20,21,20,22,21,21,23,24,24,23,24,24,25,25,26,24,25,25,25,25,25,24,24,25,25,23,23,25,25,27,25,25,25,25,25,25,25,23,23,22,25,23,24,24,26,24,24,24,21,21,23,24,24,24,24,23,24,24,25,24,27,24,24,26,26,26,27,27,26,26,26,27,27,27,27,28,28,28,28,27,27,27,27,29,29,30,30,31,31,31,31,31,31,31,31,31,30,31,31,31,32,32,32,31,30,30,30,30,30,29,29,30,30,28,28,29,29,29,29,30,30,30,30,29,30,30,31,31,31,31,31,31,31,31,28,30,28,28,28,28,28,28,28,29,28,28,28,30,27,27,27,27,29,29,29,29,29,29,29,28,29,30,30,28,28,28,28,28,28,28,29,29,28,28,28,29,29,29,29,29,30,28,28,30,31,33,33,33,32,33,33,32,31,33,28,32,32,32,33,33,33,31,33,33,33,34,31,31,31,31,31,31,31,31,31,31,31,31,31,33,33,35,35,36
