,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25
0,11,10,10,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,10,9,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,10,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,10,10,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,10,6,9,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,7,7,8,7,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9,7,7,7,6,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,5,4,6,6,6,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,7,5,5,5,5,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,4,4,5,5,5,5,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,3,4,4,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,5,4,5,4,3,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,4,4,4,5,5,5,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,4,3,5,5,6,4,4,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,4,4,4,5,5,5,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,4,4,4,5,5,5,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4,4,4,4,5,5,5,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4,4,4,4,5,5,5,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4,4,5,5,5,4,5,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4,4,4,4,4,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4,4,4,4,5,5,5,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4,3,6,4,5,5,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4,4,4,4,5,5,5,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4,4,4,5,4,5,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4,4,4,4,4,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,4,4,4,5,5,5,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4,4,4,5,5,5,5,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,4,4,4,4,5,4,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,4,4,4,4,4,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4,4,4,4,5,5,5,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4,4,5,5,4,5,4,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,5,5,5,5,4,5,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4,4,4,4,5,5,5,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,4,4,4,4,5,5,5,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4,4,5,5,5,5,5,5,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4,4,4,4,5,5,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,4,4,4,5,5,5,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,4,4,4,4,5,5,5,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4,4,4,5,5,4,5,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,4,4,4,4,5,5,5,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4,4,4,4,5,5,5,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,4,4,7,5,5,5,3,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4,4,4,5,5,5,3,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4,4,5,5,5,5,3,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,4,4,4,3,5,4,4,5,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,4,4,5,5,4,5,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4,4,4,4,5,5,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,4,4,4,4,5,5,5,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,4,4,4,4,5,5,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,4,4,4,5,5,5,4,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4,4,4,5,4,5,5,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
