,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54
0,17,14,14,14,0,14,0,14,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,14,14,14,0,13,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17,13,14,14,0,14,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,17,13,14,14,0,14,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,17,14,14,14,0,14,0,14,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,17,14,13,14,0,14,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12,12,12,13,13,13,0,12,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,12,12,12,13,13,13,0,13,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12,12,12,13,13,12,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,12,12,12,13,13,13,0,13,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,12,12,14,12,13,13,0,11,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,12,12,13,13,12,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,12,12,12,13,13,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,11,11,11,11,11,11,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,11,9,10,10,10,10,10,10,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,11,9,9,9,9,9,9,8,0,0,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,11,8,9,9,9,9,9,9,0,0,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,7,7,7,8,8,7,8,8,0,0,8,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,7,8,7,8,8,8,8,8,0,0,7,7,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,6,6,6,6,6,6,6,0,0,6,7,7,7,6,6,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5,6,6,6,6,6,5,6,0,0,6,6,6,6,6,6,0,0,0,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6,4,6,6,6,6,6,6,0,0,6,6,6,6,6,6,0,0,0,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5,5,5,5,6,5,6,5,0,0,6,6,6,6,5,5,0,0,0,6,0,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6,5,5,5,5,5,4,5,0,0,5,5,5,5,5,5,0,0,0,5,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4,4,4,4,5,5,5,5,0,0,5,5,5,5,5,4,0,0,0,5,0,0,5,5,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,12,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,0,0,0,4,0,0,4,4,4,4,4,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9,4,4,4,4,4,3,4,0,0,4,4,4,4,4,4,0,0,0,4,0,0,4,4,4,4,4,0,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3,5,4,4,4,4,4,4,0,0,4,4,4,4,4,4,0,0,0,4,0,0,4,4,4,4,4,0,4,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,5,3,3,4,4,4,4,0,0,4,4,3,4,4,4,0,0,0,4,0,0,4,4,4,4,4,4,4,0,4,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,3,3,4,4,3,4,4,0,0,4,4,4,4,4,4,0,0,0,4,0,0,4,4,4,4,4,4,4,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3,3,3,3,4,3,4,3,0,0,4,4,4,3,4,3,0,0,0,4,0,0,4,4,4,4,4,4,4,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3,3,2,3,3,3,4,3,0,0,4,3,4,4,3,3,0,0,0,4,0,0,4,4,4,4,4,4,4,4,4,4,4,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
32,3,3,3,3,3,3,3,3,0,0,3,4,4,4,4,3,0,0,0,4,0,0,3,4,4,4,4,3,4,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
33,2,3,3,3,3,3,4,3,0,0,4,4,4,3,4,3,0,0,0,4,0,0,4,4,4,4,4,4,4,4,3,3,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
34,3,3,3,3,3,3,3,3,0,0,3,3,4,4,4,3,0,0,0,4,0,0,4,4,4,4,4,3,4,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
35,3,3,3,3,3,3,3,3,0,0,3,3,4,4,4,3,0,0,0,4,0,0,4,4,4,4,4,4,4,3,4,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
36,3,3,3,3,3,3,4,3,0,0,4,4,4,3,4,2,0,0,0,4,0,0,4,4,4,4,4,4,4,3,4,4,4,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
37,3,3,3,3,3,3,3,3,0,0,3,3,4,4,4,3,0,0,0,4,0,0,4,4,4,4,4,4,4,3,4,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
38,3,3,3,3,3,3,4,3,0,0,4,3,4,4,4,3,0,0,0,3,0,0,3,4,4,3,4,4,4,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
39,3,3,3,3,3,3,3,3,0,0,3,3,4,4,4,3,0,0,0,4,0,0,4,4,4,4,4,4,4,4,3,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
40,3,3,3,3,4,3,3,4,0,0,4,4,4,4,4,4,0,0,0,2,0,0,2,4,3,4,4,4,3,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
41,3,3,3,3,3,3,2,3,0,0,3,3,4,4,4,3,0,0,0,4,0,0,4,4,4,4,4,4,4,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
42,3,3,3,3,3,3,3,3,0,0,3,3,4,4,4,3,0,0,0,4,0,0,4,4,4,4,4,4,4,4,4,4,3,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
43,3,3,3,3,2,3,3,3,0,0,3,3,4,4,4,3,0,0,0,4,0,0,4,4,4,4,4,4,4,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
44,3,3,3,2,3,3,3,3,0,0,3,4,4,4,4,3,0,0,0,4,0,0,4,4,4,4,4,4,4,4,4,4,4,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
45,3,3,3,3,3,3,3,3,0,0,4,4,3,4,4,3,0,0,0,3,0,0,4,3,4,4,4,4,4,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
46,3,3,2,3,3,3,3,3,0,0,3,3,4,4,4,3,0,0,0,4,0,0,4,4,4,4,4,4,4,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
47,3,3,2,3,3,3,3,3,0,0,3,3,3,3,3,3,0,0,0,3,0,0,4,4,4,4,4,4,4,4,4,4,4,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0
48,11,3,3,3,3,3,3,3,0,0,3,2,3,3,3,3,0,0,0,3,0,0,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3
49,2,3,3,3,2,2,2,2,0,0,3,3,3,3,3,3,0,0,0,2,0,0,3,2,3,3,3,3,3,3,3,6,3,0,3,0,0,0,4,4,4,0,4,0,3,0,0,0,0,0,0,0,0,4
50,5,3,3,3,3,3,3,2,0,0,3,3,3,3,3,3,0,0,0,3,0,0,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,3,3,3,0,3,0,3,0,0,0,0,0,0,0,0,3
