,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53
0,11,10,10,10,10,10,10,10,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,9,9,9,8,9,9,9,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,9,9,8,9,9,9,9,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,9,9,9,9,8,9,9,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11,9,9,9,8,9,9,9,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11,9,9,9,9,9,9,9,8,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13,8,8,8,8,8,8,8,8,8,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,5,7,8,10,9,7,8,10,12,0,0,0,0,0,11,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,5,7,6,8,7,8,8,7,8,0,0,0,0,0,9,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,4,6,5,6,6,7,7,7,7,10,0,0,0,0,7,0,0,8,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,2,5,4,5,3,6,5,6,6,6,0,9,0,0,6,0,0,7,7,8,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,11,5,5,5,5,5,5,5,5,5,0,5,0,0,5,0,0,5,5,5,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1,3,4,3,5,5,4,5,5,5,0,6,0,0,5,0,0,5,4,6,6,6,6,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,3,4,4,5,4,4,6,4,5,0,5,0,0,5,0,0,6,5,5,6,6,6,6,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,3,2,3,5,6,6,6,5,5,0,4,0,0,5,0,0,5,5,6,6,5,5,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,3,4,5,5,4,5,5,5,5,0,5,0,0,5,0,0,5,4,5,9,5,5,5,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,2,2,4,5,5,5,5,5,4,0,5,9,0,5,0,0,5,5,5,5,6,5,4,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,1,4,2,5,4,5,5,5,5,0,5,5,0,5,0,0,5,5,6,6,5,5,6,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,4,4,4,5,4,5,5,5,5,0,5,5,0,5,0,0,5,5,5,4,5,5,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,3,2,5,5,5,5,5,6,0,6,6,0,5,0,0,6,6,5,5,5,6,4,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,6,5,5,5,5,5,5,5,0,5,5,0,5,0,0,5,5,5,5,4,5,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,4,7,5,5,5,5,5,5,0,5,5,0,5,0,0,5,5,5,5,5,5,4,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,3,4,5,5,5,5,5,0,4,5,0,5,0,0,5,5,7,5,5,5,5,0,0,0,0,6,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,4,5,5,5,4,4,5,0,5,5,0,5,0,0,5,5,5,5,4,5,4,0,0,0,0,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,2,4,4,4,4,4,4,0,4,4,0,4,0,0,4,5,5,4,5,5,5,0,0,5,0,5,5,0,0,5,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,13,4,4,4,4,4,4,0,4,4,0,4,0,0,4,4,4,4,4,4,4,0,0,4,0,4,4,0,0,4,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,2,3,3,3,6,4,3,0,4,4,0,4,0,0,4,4,4,4,4,4,4,0,0,4,0,4,4,4,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4
27,0,0,0,0,3,4,3,3,4,4,4,0,4,4,0,4,0,0,4,4,4,4,4,4,4,0,0,4,0,4,4,4,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4
28,0,0,0,0,3,3,3,3,3,4,4,0,4,3,0,3,0,0,4,4,4,4,4,4,4,0,0,4,0,4,4,4,0,3,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4
29,0,0,0,0,3,3,3,3,3,3,4,0,4,4,0,3,0,0,4,4,4,4,4,4,3,0,0,4,0,4,4,4,0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4
30,0,0,0,0,3,3,3,3,3,3,3,0,3,3,0,3,0,0,3,4,4,4,4,4,4,0,0,4,0,3,4,4,0,4,4,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4
31,0,0,0,0,3,3,3,3,3,3,3,0,3,3,0,3,0,0,3,3,3,4,4,4,4,0,0,4,0,3,4,4,0,3,4,4,3,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,4
32,0,0,0,0,16,3,3,3,3,3,3,0,3,3,0,3,0,0,3,3,3,3,3,3,3,0,0,3,0,3,3,3,0,3,3,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,3
33,0,0,0,0,14,3,3,3,3,3,2,0,3,3,0,3,0,0,3,3,3,3,3,3,3,3,0,3,0,3,3,3,0,3,3,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,3
34,0,0,0,0,14,3,3,3,3,3,3,0,3,3,0,3,0,0,2,3,3,3,3,3,3,3,0,3,0,3,3,3,0,3,3,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,3
35,0,0,0,0,3,3,3,2,3,3,3,0,2,3,0,3,0,0,4,4,3,4,4,3,3,4,0,3,0,4,4,3,0,4,4,4,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,4
36,0,0,0,0,14,3,3,3,3,3,3,0,3,3,0,3,0,0,3,3,2,3,3,3,3,3,0,3,0,3,3,3,0,3,3,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,3
37,0,0,0,0,11,3,3,3,3,3,3,0,3,3,0,3,0,0,3,3,3,2,3,3,3,3,0,3,3,3,3,3,0,3,3,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,3
38,0,0,0,0,11,3,3,3,3,3,3,0,3,3,0,3,0,0,3,3,3,3,3,3,3,3,0,3,2,3,3,3,0,3,3,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,3
39,0,0,0,0,11,3,3,3,3,3,3,0,3,3,0,3,0,0,3,3,3,3,3,3,3,2,0,3,3,3,3,3,0,3,3,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,3
40,0,0,0,0,11,3,3,3,3,3,3,0,3,3,0,3,0,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,3,3,3,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,3,3
41,0,0,0,0,11,3,3,3,3,3,3,0,3,3,0,3,0,0,3,3,3,3,3,3,3,3,0,3,3,2,3,3,0,3,3,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,3
42,0,0,0,0,11,3,3,3,3,3,3,0,3,3,0,3,0,0,2,3,3,3,3,3,3,3,0,3,3,3,3,3,0,3,3,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,3
43,0,0,0,0,11,3,3,3,3,3,3,0,3,3,0,3,0,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,3,3,3,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,3,3
44,0,0,0,0,3,3,3,3,3,3,3,0,3,3,0,3,0,0,3,3,3,3,3,3,3,3,0,4,4,4,4,3,0,4,3,4,4,0,0,4,0,0,0,3,0,0,0,0,0,0,0,3,2
45,0,0,0,0,11,3,3,3,3,3,3,0,3,3,0,3,0,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,3,3,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,2
46,0,0,0,0,11,3,3,3,3,3,3,0,3,3,0,3,0,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,3,3,3,2,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,3
47,0,0,0,0,11,3,3,3,3,3,3,0,3,3,0,3,0,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,2,3,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,3
48,0,0,0,0,11,3,3,3,3,3,3,0,3,3,0,3,0,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,3,3,3,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,3,3
49,0,0,0,0,11,3,3,3,3,3,3,0,3,3,0,3,0,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,3,3,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,2
50,0,0,0,0,11,3,3,3,3,3,3,0,3,3,0,3,0,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,3,2,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,3
