,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50
0,11,11,12,12,8,12,0,12,0,12,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,10,10,10,10,9,0,10,0,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,10,10,10,10,10,0,10,0,10,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,10,10,10,10,10,0,10,0,10,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11,9,10,10,10,10,0,10,0,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11,9,9,8,9,9,0,9,9,9,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,11,9,9,9,9,9,0,9,8,9,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,13,8,8,8,8,8,0,8,8,8,8,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,8,8,8,8,0,9,9,9,9,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,12,8,8,8,8,8,0,8,8,8,8,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13,8,8,8,8,8,0,8,8,7,8,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,8,8,8,9,7,9,0,9,9,8,9,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8,8,8,8,9,9,0,8,8,9,9,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8,8,9,8,9,8,0,9,8,8,9,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,8,8,8,8,10,9,0,8,8,8,8,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8,8,7,9,8,8,0,9,8,9,8,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,8,8,8,8,8,7,0,8,7,8,7,8,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,10,7,7,7,7,7,0,7,7,7,6,7,0,0,0,7,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,6,6,6,7,7,0,7,7,7,7,6,0,0,0,7,0,0,7,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,5,5,5,5,5,0,5,5,5,5,5,0,0,0,5,5,0,5,0,5,0,5,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6,5,5,5,5,5,0,5,5,5,5,5,0,0,0,5,5,0,5,0,5,0,5,0,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6,5,5,5,5,5,0,5,5,5,5,5,0,0,0,5,5,0,5,0,5,0,5,0,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4,4,4,5,5,5,0,5,5,4,5,5,0,0,0,4,5,0,5,0,5,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4,4,4,5,5,5,0,5,5,5,5,5,0,0,0,5,5,0,4,0,5,0,5,5,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4,4,4,5,5,5,0,5,5,4,5,5,0,0,0,5,5,0,5,0,5,0,5,5,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,4,4,4,5,5,0,5,5,5,5,5,0,0,0,5,5,0,4,0,5,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4,4,4,5,5,5,0,5,5,5,5,5,0,0,0,5,5,0,5,0,4,0,4,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,4,4,4,4,4,5,0,5,5,5,4,5,0,0,0,5,5,0,5,0,3,0,5,5,4,5,5,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,13,4,4,4,4,4,0,4,4,4,4,4,0,0,0,4,4,0,4,0,4,0,4,4,4,4,4,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,9,4,4,4,4,3,0,4,4,4,4,4,0,0,0,4,4,0,4,0,4,0,4,4,4,4,4,4,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
30,3,3,4,4,4,4,0,4,4,4,4,4,0,0,0,4,4,0,4,0,3,0,4,4,4,4,4,4,0,4,4,0,0,4,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0
31,3,3,3,4,4,4,0,4,4,4,4,4,0,0,0,4,4,0,3,0,4,0,4,4,4,4,4,4,0,4,4,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
32,3,3,3,4,4,4,0,4,4,4,4,4,0,0,0,4,4,0,4,0,4,0,4,4,4,4,4,4,0,4,4,0,0,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
33,3,3,3,3,3,4,0,4,4,4,3,4,0,0,0,3,4,0,4,0,3,0,4,4,4,4,4,4,0,4,4,0,0,4,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0
34,3,3,3,3,3,3,0,3,3,3,3,3,0,0,0,7,3,0,4,0,3,0,3,3,4,4,4,3,0,4,3,0,0,3,0,0,4,4,3,4,4,0,0,0,0,0,0,0,0,0
35,3,3,3,3,3,3,0,3,4,3,4,4,0,0,0,3,3,0,4,0,3,0,2,3,3,3,4,4,0,4,4,0,0,4,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0
36,3,3,3,3,3,3,0,3,4,2,3,3,0,0,0,3,3,0,4,0,3,0,4,4,4,4,4,4,0,4,4,0,0,4,0,0,3,4,3,4,4,0,0,0,0,0,0,0,0,0
37,3,2,3,3,3,3,0,3,3,3,3,3,0,0,0,3,3,0,3,0,3,0,3,3,3,3,3,3,0,3,8,0,0,4,0,4,4,3,4,4,4,0,0,0,0,0,0,0,0,0
38,14,3,3,3,3,3,0,3,3,3,3,3,0,0,0,3,3,0,3,0,3,0,3,2,3,3,3,3,0,3,3,0,0,3,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0
39,14,3,3,3,3,3,0,3,3,3,3,3,0,0,0,3,3,0,3,0,3,0,3,3,3,2,3,3,0,3,3,0,0,3,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0
40,3,3,3,3,3,3,0,3,2,3,3,3,0,0,0,3,2,0,3,0,9,0,3,3,3,4,3,4,0,3,4,0,0,3,0,4,4,4,2,3,4,0,0,0,0,0,0,0,0,0
41,11,3,3,3,3,3,0,3,3,3,3,3,0,0,0,3,3,0,3,0,3,0,3,3,3,3,3,3,0,3,3,0,0,3,0,3,3,3,2,3,3,0,0,3,0,0,0,0,0,0
