,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,41,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0
2,0,0,0,0,0,0,0,0,0,5,5,6,0,0,1,6,7,0,0,7,0,0,6,6,1,0
3,0,0,0,0,0,0,0,0,0,3,3,7,0,1,5,5,5,0,0,5,0,0,5,5,5,1
4,0,0,0,0,0,0,0,0,0,0,0,6,1,5,5,5,5,0,0,5,0,0,5,4,5,4
5,0,0,0,0,0,0,0,0,0,0,0,10,11,7,10,3,2,0,0,2,0,0,1,0,2,2
6,0,0,0,0,0,0,0,0,0,0,0,10,7,5,5,5,5,0,0,4,0,0,4,0,0,5
7,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,4,5,0,0,5,0,0,6,0,0,6
8,0,0,0,0,0,0,0,0,0,0,0,12,9,8,8,5,3,0,0,2,0,0,2,0,0,1
9,0,0,0,0,0,0,0,0,0,0,0,7,6,6,6,5,4,0,0,6,1,0,5,0,0,4
10,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,4,6,0,0,5,5,0,5,0,0,4
11,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,6,1,0,6,7,0,4,0,0,1
12,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,5,5,6,0,5,5,0,5,0,0,3
13,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,5,5,7,0,5,5,0,5,0,0,3
14,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,5,5,6,0,5,5,0,4,0,0,3
15,0,0,0,0,0,0,0,0,0,0,0,2,4,4,5,5,5,7,0,5,5,0,5,0,0,3
16,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,5,5,5,2,5,5,0,3,0,0,3
17,0,0,0,0,0,0,0,0,0,0,0,2,4,4,5,5,5,5,6,5,5,0,2,0,0,2
18,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,6,3,5,0,6,0,0,2
19,0,0,0,0,0,0,0,0,0,0,0,2,6,4,4,4,4,4,4,4,5,0,5,0,0,4
20,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,5,5,6,5,5,5,0,5,0,0,2
21,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,5,4,5,5,5,5,1,5,0,0,4
22,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,4,4,4,4,4,4,5,1,0,3
23,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,4,4,4,5,4,0,4
24,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,4,5,4,4,4,6,4,0,4
25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,4,4,6,4,4,4,5,5,0,5
26,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,3,4,5,3,4,4,4,4,0,4
27,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,2,4,4,4,4,4,4,4,4,1,4
28,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,4,4,4,4,4,4,4,4,3
29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,3,4,4,4,4,5,6,4
30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,4,4,4,3,4,4,4,5,4
31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,3,4,4,4,6,4
32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,4,3,4,3,4,4,4,4,7,4
33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,4,4,4,4,4,4,4,6,4
34,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,4,4,4,4,4,4,4,5,4,4
35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,5,4,4,4
36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,3,4,4,4,4,4,6,4,4,4
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,4,4,4,4,4,4,5,4,5
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,5,5,4,6
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,4,4,4,3,4,4,4,6
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,4,4,4,4,5,6,5,6
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,2,4,4,4,4,5,6,5,6
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,4,4,5,5,5,6,6
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,4,4,4,4,4,4,6,5
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,4,4,5,5,7,5
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,4,4,4,5,5,5,5,6,4
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,4,4,4,4,4,5,7,4
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,4,4,4,5,5,8,5,5
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,4,4,4,4,5,4,7,4,4
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,4,4,4,4,4,4,8,5,4
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,4,3,4,4,4,5,5,6
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,4,4,4,4,4,4,4,5,4
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,4,4,4,4,5,4,4,4,4
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,4,4,5,5,5,4,4
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,6,6,5,5,5
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,4,5,5,5,7,5,6,5
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,5,5,5,5,8,5
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,5,5,6,5,5,5,5
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,5,6,6,4,5,5,5
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,5,5,6,5,5,5,6
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,5,4,5,5,5,5,5,7
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,5,5,5,5,5,4,5,7
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,4,4,5,5,4,5,8
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,4,5,5,5,5,5,5,7
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,5,5,5,5,5,5,6
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,6,5,5,5,5,5,5,6
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,5,5,5,5,5,5,6
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,5,5,5,5,6,5,9
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,5,5,5,5,5,5,6
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,4,4,5,5,5,5,5,8
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,6,5,5,5,5,5,7
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,5,5,5,5,5,6
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,6,5,5,5,5,5,6
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,4,5,5,5,5,5,5,7
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,5,5,6,5,5,5,7
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,4,5,7,5,6,5,6
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,5,6,7,5,5,5
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,5,5,5,6,5,5,5
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,5,4,5,7,5,5,5
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,5,5,3,5,6,5,5,5
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,5,6,7,5,5,5
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,4,5,7,7,5,5,5
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,4,5,5,6,5,5,5
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,5,6,6,8,5,5
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,5,5,5,5,6,5,5
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,5,6,6,6,6,6
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,6,6,6,6,8,5
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,4,5,5,5,6,6
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,5,6,6,3,6,7,6
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,5,5,6,5,5
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,5,5,6,6,7,6,6
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,5,5,5,5,6,5,5
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,5,5,4,5,8,6,5
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,5,5,6,7,7,7
