,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26
0,0,0,0,0,0,0,0,14,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,0,4,0,0,0,0,4,0
2,0,0,0,0,0,0,0,0,4,7,4,3,4,4,4,4,4,4,0,4,0,0,0,0,4,0
3,0,0,0,0,0,0,0,0,4,6,4,4,4,4,4,4,4,4,0,4,0,0,0,0,4,0
4,0,0,0,0,0,0,0,0,7,3,4,4,4,4,4,4,4,4,0,4,0,0,0,0,4,0
5,0,0,0,0,0,0,0,0,7,3,4,4,4,4,4,4,4,4,0,4,0,0,0,0,4,0
6,0,0,0,0,0,0,0,0,7,3,4,4,4,4,4,4,4,4,0,4,0,0,0,0,4,0
7,0,0,0,0,0,0,0,0,7,3,4,4,4,4,4,4,4,4,0,4,0,0,0,0,4,0
8,0,0,0,0,0,0,0,0,7,3,4,4,4,4,4,4,4,4,0,4,0,0,0,0,4,0
9,0,0,0,0,0,0,0,0,7,3,4,4,4,4,4,4,4,4,0,4,0,0,0,0,4,0
10,0,0,0,0,0,0,0,0,4,4,4,5,5,4,5,3,5,3,0,4,0,0,0,0,4,0
11,0,0,0,0,0,0,0,0,4,6,5,4,4,5,5,3,4,3,0,4,0,0,0,0,3,0
12,0,0,0,0,0,0,0,0,3,7,4,4,4,4,4,4,4,4,0,4,0,0,0,0,4,0
13,0,0,0,0,0,0,0,0,5,6,4,4,4,5,5,4,3,3,0,4,0,0,0,0,3,0
14,0,0,0,0,0,0,0,0,4,6,4,5,5,5,5,3,3,3,0,4,0,0,0,0,3,0
15,0,0,0,0,0,0,0,0,4,6,4,4,4,4,4,4,4,4,0,4,0,0,0,0,4,0
16,0,0,0,0,0,0,0,0,5,5,4,5,5,4,5,4,4,4,0,1,0,0,0,0,4,0
17,0,0,0,0,0,0,0,0,3,7,4,4,4,4,4,4,4,4,0,4,0,0,0,0,4,0
18,0,0,0,0,0,0,0,0,2,8,4,4,4,4,4,4,4,4,0,4,0,0,0,0,4,0
19,0,0,0,0,0,0,0,0,1,4,4,5,4,5,5,4,5,4,0,5,0,0,0,0,4,0
20,0,0,0,0,0,0,0,0,0,4,3,6,5,4,4,5,5,5,0,4,0,0,0,0,5,0
21,0,0,0,0,0,0,0,0,0,4,4,4,4,3,4,4,4,6,0,4,5,0,0,0,4,0
22,0,0,0,0,0,0,0,0,0,3,3,4,5,5,4,3,5,5,0,4,5,0,0,0,4,0
23,0,0,0,0,0,0,0,0,0,3,4,4,4,4,3,5,3,5,0,5,5,0,0,0,5,0
24,0,0,0,0,0,0,0,0,0,2,4,3,4,5,5,4,3,5,0,5,5,0,0,0,5,0
25,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,5,5,0,5,5,0,0,0,5,0
26,0,0,0,0,0,0,0,0,0,2,8,4,4,4,4,4,4,4,0,4,4,0,0,0,4,0
27,0,0,0,0,0,0,0,0,0,2,2,2,3,4,4,4,4,5,0,5,5,5,0,0,5,0
28,0,0,0,0,0,0,0,0,0,1,2,1,6,4,4,4,4,4,4,4,4,4,0,0,4,0
29,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,5,5,4,5,5,0,0,5,0
30,0,0,0,0,0,0,0,0,0,0,3,4,3,4,4,4,4,4,4,4,4,4,0,0,4,0
31,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4,4,3,4,4,4,4,4,0,0,4,4
32,0,0,0,0,0,0,0,0,0,0,1,4,3,4,4,4,3,4,4,4,4,4,0,0,4,3
33,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,4,4,4,4,4,4,4,0,0,3,4
34,0,0,0,0,0,0,0,0,0,0,0,2,5,4,4,4,4,4,4,4,4,4,0,0,4,3
35,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,4,4,4,4,4,4,0,0,8,4
36,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,4,4,4,4,4,4,0,4,4,4
37,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,4,3,4,4,4,4,4,0,4,4,4
38,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,4,3,4,4,4,0,4,4,4
39,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,4,4,4,2,4,4,4,4,4
40,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,3,4,4,4,4,4,4,4,4
41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,4,4,4,4,4,4,4,4,4
42,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,4,4,3,4,4,4,4,4
43,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,7,4,4,4,4,4,4,4,4
44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,3,4,4,4,4,4,4,4
45,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,3,4,4,4,4,4,4,4,4,3
46,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,4,4,4,3,4,4,4,4
47,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,3,2,4,4,4,4,4,4,4,4
48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,4,4,4,4,4,4,4,4,4
49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,4,3,4,4,4,4,4,4,4,4
50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,4,4,4,4,4,4,4,4,4,4
51,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,4,4,4,4,4,4,3,4,3,2
52,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,4,4,4,4,4,4,4,4,4
53,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4
54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,4,4,4,4,4,4,4,4,4,4
55,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,4,4,4,3,3,4,4,4,4,4
56,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,3,4,4,4
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,3,4,4,9,4,5,4,5,5
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,4,4,7,5,4,4,4,4
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,4,5,5,5,4,7,3,5
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,3,4,4,4,4,4,4,4,4
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,4,4,4,4,6,4,5
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4,4,4,4,4,4,4,4,4,4
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,4,4,4,6,5,5,5,5
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,4,4,4,4,4,4,4,4,4
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,4,4,4,4,4,4,4,4,4
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,3,6,6,7,1,4,5,2,3
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,4,4,4,5,5,5,1,5
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,5,3,4,4,5,4,4,4
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,6,5,3,5,1,5,4,2,3
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,5,1,5,5,4,4,4,4
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,4,0,5,4,5,5,5,5
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,5,0,5,3,5,5,5,5
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,5,0,5,4,4,5,5,5
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,5,5,5,5,5,5
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,5,5,5,5,5,5
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,4,0,5,4,5,4,5,4
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,4,5,0,4,4,5,4,4,3
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,5,4,0,4,5,5,4,2,3
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,5,4,0,4,3,5,5,4,5
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,4,0,5,4,4,4,4,5
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,0,4,4,3,5,5,5
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,4,0,5,5,5,4,5,5
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,3,5,0,4,5,5,5,5,5
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,5,0,5,5,5,4,5,5
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,5,4,0,5,5,5,5,4,5
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,3,0,4,4,4,4,4,10
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,4,5,0,4,5,3,4,5,5
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,5,0,5,5,5,5,5,5
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,5,0,5,5,5,5,5,5
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,4,5,0,4,5,5,5,5,5
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,3,0,5,5,5,5,5,5
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,5,0,5,5,5,5,5,5
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,5,0,5,5,5,5,5,5
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,5,0,5,5,5,5,5,5
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,4,5,0,5,5,5,5,4,4
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,5,0,5,5,5,5,4,5
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,5,5,0,5,5,5,5,5,5
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,5,0,5,5,5,5,5,5
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,3,5,0,5,5,5,5,5,5
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,5,4,0,5,5,5,5,5,5
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,4,5,0,4,5,5,5,5,5
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,4,7,4,4,4,4,4,4
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,4,4,4,4,4,4,4,4,4
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,5,4,5,4,4,4,4
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,4,4,4,4,4,4,4,4,4
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,4,4,4,4,4,4,4,4,4
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,6,4,4,4,5,5,5,5
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,4,4,4,4,3,4,4,4,4
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,4,4,4,4,4,4,4,4,4
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,5,5,5,5,5
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,3,4,4,4,4,4,4,8
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,5,4,4,5,4,4,4,5
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,4,4,4,4,4,4,4,4,4
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,4,4,4,4,4,4,4,4,4
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,4,4,4,4,4,4,4,4,4
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,5,4,5,4,3,5,4
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,4,4,4,4,4,4,4,4,4
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,5,5,5,5,5,4,4
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,5,5,5,5,5,5,5
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,5,5,5,5,5,3,4
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,5,5,5,5,5,5,5
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,5,5,5,5,5,5,5
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,5,5,5,5,5,5,5
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,5,5,5,5,5,5,5
