,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26
0,0,0,0,0,0,0,0,4,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,2,21,18,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0
2,0,0,0,0,0,0,0,2,7,8,4,4,4,4,5,0,4,4,0,0,0,0,0,4,0,0
3,0,0,0,0,0,0,0,2,4,5,5,5,5,5,5,0,4,5,0,0,0,0,0,4,1,0
4,0,0,0,0,0,0,0,4,4,7,4,4,4,4,4,0,3,4,0,2,0,0,0,4,2,0
5,0,0,0,0,0,0,0,4,5,3,4,3,4,3,5,0,4,4,0,7,0,0,0,4,0,0
6,0,0,0,0,0,0,0,1,4,4,3,6,3,4,4,0,4,5,0,7,0,1,0,4,0,0
7,0,0,0,0,0,0,0,1,6,3,3,4,3,4,4,0,4,4,0,5,0,4,0,4,0,1
8,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,0,4,4,0,6,0,4,0,4,0,2
9,0,0,0,0,0,0,0,0,4,5,4,4,4,3,3,0,4,4,0,6,0,4,0,4,0,1
10,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,0,4,4,0,6,0,4,0,4,0,3
11,0,0,0,0,0,0,0,0,2,2,3,4,4,4,4,0,4,4,0,6,0,5,0,4,0,4
12,0,0,0,0,0,0,0,0,0,4,4,4,4,3,4,0,4,4,0,5,1,7,0,2,0,4
13,0,0,0,0,0,0,0,0,0,3,3,6,3,3,3,0,4,4,0,4,4,5,0,4,0,4
14,0,0,0,0,0,0,0,0,0,2,0,4,3,3,4,0,4,4,0,5,5,7,0,4,0,5
15,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,0,4,5,0,6,5,5,0,5,0,5
16,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,0,5,5,1,6,6,5,0,5,0,5
17,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,0,4,4,4,3,6,5,0,5,0,4
18,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,0,4,5,6,5,5,5,0,5,0,3
19,0,0,0,0,0,0,0,0,0,0,0,4,3,3,2,0,3,4,7,5,5,5,0,5,0,4
20,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,4,7,5,4,4,4,0,4,0,4
21,0,0,0,0,0,0,0,0,0,0,0,7,3,4,4,0,3,4,5,4,4,4,0,4,0,4
22,0,0,0,0,0,0,0,0,0,0,0,7,4,2,3,0,4,4,6,4,4,4,0,4,0,4
23,0,0,0,0,0,0,0,0,0,0,0,3,3,2,4,0,4,5,5,5,5,5,0,4,0,5
24,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,0,4,5,5,7,5,5,0,3,0,5
25,0,0,0,0,0,0,0,0,0,0,0,4,1,2,4,0,5,4,5,7,5,5,0,3,0,5
26,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,5,5,5,5,6,5,0,4,0,4
27,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,4,5,5,6,6,5,0,5,0,3
28,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,5,5,5,6,5,5,0,5,0,4
29,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,6,5,5,6,6,5,0,5,0,3
30,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,5,5,5,5,6,5,0,5,0,4
31,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,0,4,5,5,5,7,5,0,5,0,5
32,0,0,0,0,0,0,0,0,0,0,0,4,0,2,4,0,4,4,5,5,6,6,0,5,0,5
33,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,4,5,5,5,6,5,0,4,0,5
34,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,5,5,4,5,5,0,5,0,5
35,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,5,5,5,5,6,7,0,5,0,5
36,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,4,5,5,5,7,6,0,5,0,5
37,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,7,5,5,5,8,5,0,5,0,5
38,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,6,5,5,5,6,6,0,6,0,4
39,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,6,6,5,5,5,5,0,5,0,5
40,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,6,4,5,5,5,0,5,0,5
41,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,6,7,5,5,5,5,0,5,0,3
42,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,7,7,5,5,6,5,0,5,0,3
43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,6,8,6,5,6,4,0,5,0,5
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,6,6,6,6,0,5,0,6
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,6,9,6,7,5,0,2,0,2
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,6,8,6,7,4,0,2,0,5
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,7,9,6,6,5,0,3,0,6
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,5,6,6,5,0,6,0,6
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,7,6,6,6,6,0,6,0,4
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,8,6,6,4,6,0,5,0,5
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,7,6,7,6,6,0,6,0,2
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,8,6,6,6,6,1,4,0,3
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,6,5,5,6,6,4,0,4
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,5,6,5,5,6,6,0,6
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,6,6,5,5,6,5,0,6
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,6,7,5,5,6,5,0,6
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,6,6,6,5,5,5,5,0,6
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,5,5,5,5,5,5,5,0,5
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,6,5,5,5,5,5,5,0,5
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,6,5,6,5,4,5,0,6
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,5,5,5,5,5,5,4,1,5
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,5,4,5,4,5,5,5,4
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,4,5,5,5,5,4,5,5
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,4,4,5,5,5,5,5,5
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,7,5,5,5,5,5,5
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,6,2,5,5,5,5,5
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,6,6,5,4,5,5,5
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,7,6,6,3,5,5,3
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,5,5,6,5,5,3,4
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,6,5,6,5,6,5,4
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,5,5,6,5,5,5,5
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,5,8,5,5,5,5
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,5,8,5,5,5,5
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,5,8,5,5,5,5
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,4,5,6,6,5,5,5
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,5,5,7,5,5,5
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,5,5,5,4,5,5
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,5,4,8,5,5,5
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,5,5,5,7,5,4,5
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,5,6,5,5,5
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,5,5,8,5,4,5
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,5,5,5,5,5,4
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,5,6,7,5,5,5
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,5,5,5,5,5,5,5
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,5,5,5,5,6,5,5
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,5,5,5,5,5,5,5
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,5,5,5,5,5,5,5
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,5,5,5,7,5,5
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,5,5,5,6,6,5,3
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,7,5,5,5,7,4,3
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,5,5,5,5,5,5,5
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,5,5,5,6,5,6
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,5,5,5,5,5,6,5
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,5,6,5,6,6,6
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,5,5,5,5,5,6,5
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,6,5,5,7,6,6
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,5,4,5,8,5,5
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,7,5,5,5,5,7,5,5
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,5,5,5,6,5
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,5,5,6,7,6,5
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2,4,5,5,5,6,6,6
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,5,5,5,5,5,5,5
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,4,4,5,5,5,5,6
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,5,5,5,5,5,5,5
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,4,5,4,5,5,6,6
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,4,5,4,5,5,5,6
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,4,5,5,5,5,5,7
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,5,5,5,5,5,5,7
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,4,4,5,5,5,5,5
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,5,5,5,5,5,7,6
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,4,5,5,5,6,5,5
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,5,5,5,5,5,5,5
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,5,5,5,5,5,5,5
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,4,4,6,5,6,6
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,4,5,4,5,7,5
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,5,5,6,6,5,6
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3,5,5,6,6,7,6
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,5,5,5,5,5,6,7
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,5,5,5,5,5,6,6
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,5,5,5,6,5
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,5,5,5,5,5,6,6
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,5,4,5,5,5,6,5
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,5,5,5,5,5,6,6
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,4,5,4,5,6,5,7
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,5,4,5,5,5,5
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,4,5,5,5,5,5,5
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,4,3,5,5,5,5,5
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,3,5,5,5,5,5,7
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,4,5,5,5,5,5
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,4,4,4,5,6,5,5
