,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26
0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,0,4,4,0,4,0,4,4,4,0,0
2,0,0,0,0,0,0,0,0,4,6,6,2,4,2,3,0,3,3,0,3,0,3,4,3,4,0
3,0,0,0,0,0,0,0,0,4,5,5,6,5,5,2,0,1,1,0,3,0,2,4,3,4,0
4,0,0,0,0,0,0,0,0,3,3,3,3,3,3,4,0,4,4,0,4,0,4,4,4,4,0
5,0,0,0,0,0,0,0,0,2,3,3,3,3,4,4,0,4,4,0,4,0,4,4,4,4,0
6,0,0,0,0,0,0,0,0,2,9,3,3,3,3,3,0,3,3,0,3,0,3,3,3,3,3
7,0,0,0,0,0,0,0,0,2,9,3,3,3,3,3,0,3,3,0,3,0,3,3,3,3,3
8,0,0,0,0,0,0,0,0,3,4,4,4,3,4,3,0,3,3,0,4,0,3,3,3,3,3
9,0,0,0,0,0,0,0,0,3,3,3,4,3,4,4,0,4,4,0,3,0,3,3,3,3,3
10,0,0,0,0,0,0,0,0,4,3,4,4,4,4,4,0,4,3,0,3,0,3,4,3,3,0
11,0,0,0,0,0,0,0,0,3,4,4,4,3,4,4,0,4,4,0,4,0,3,3,3,3,0
12,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,0,4,4,0,4,0,4,4,0,4,0
13,0,0,0,0,0,0,0,0,7,3,4,4,4,4,4,0,4,4,0,4,0,4,4,0,0,0
14,0,0,0,0,0,0,0,0,3,7,4,4,4,4,4,0,4,4,0,4,0,4,4,0,0,0
15,0,0,0,0,0,0,0,0,0,4,3,4,3,4,4,4,4,4,0,4,0,4,3,0,0,5
