,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54
0,43,17,6,12,1,0,0,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,15,13,15,15,0,0,15,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17,14,14,14,13,1,0,13,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,12,12,12,13,12,0,13,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,13,11,10,11,11,11,0,11,9,1,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,9,9,7,9,9,0,8,10,13,0,13,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,9,9,9,9,11,0,9,9,9,0,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11,9,9,9,9,9,0,9,9,8,0,9,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,7,8,9,9,9,0,8,9,9,1,9,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,7,8,7,8,8,0,8,7,8,8,8,8,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,7,7,7,7,7,0,6,7,7,7,7,7,0,0,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5,6,7,7,6,7,0,6,8,6,7,7,7,0,0,6,7,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,11,6,6,6,6,6,0,6,6,6,6,6,5,0,0,6,6,0,0,6,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5,6,6,6,6,6,0,6,6,6,6,6,6,0,0,6,6,0,0,5,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5,6,6,4,6,6,0,6,6,6,5,6,6,0,0,6,6,0,0,6,0,0,0,0,6,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,5,5,5,5,6,0,5,6,6,6,6,6,0,0,5,6,0,0,6,0,0,0,0,6,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,5,5,5,5,6,0,5,6,6,6,6,6,0,0,5,6,0,0,6,0,0,0,1,6,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4,5,3,4,5,6,0,6,5,5,5,5,5,0,0,5,6,0,0,6,0,0,0,6,6,0,6,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3,3,4,5,5,6,0,6,4,4,5,5,5,0,0,5,6,0,0,6,0,0,0,5,4,0,6,0,0,5,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4,4,5,4,4,5,0,5,5,5,4,5,5,0,0,5,5,0,0,5,0,0,0,5,5,0,5,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4,4,4,3,5,5,0,5,5,5,5,5,5,0,0,5,5,0,0,5,0,0,0,5,5,0,5,0,0,4,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,2,3,3,4,2,5,0,5,5,4,4,4,5,0,0,3,10,0,0,5,0,0,0,4,5,0,5,0,0,5,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
22,0,1,2,4,2,5,0,5,4,4,6,4,6,0,0,7,5,0,0,5,0,0,0,5,5,0,5,0,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
23,0,2,5,5,5,4,0,4,5,4,5,4,4,0,0,5,5,0,0,5,0,0,0,5,5,0,2,0,0,4,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,0,0,0,0
24,0,4,4,3,4,4,0,4,4,4,5,4,5,0,0,4,5,0,0,4,0,0,0,5,5,0,5,0,0,4,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,0,0,0
25,0,4,4,2,4,4,0,4,4,4,5,5,4,0,0,4,5,0,0,4,0,0,0,5,5,0,5,0,0,4,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,0,0,0,0
26,0,4,4,4,4,4,0,4,4,5,4,4,5,0,0,5,5,0,0,3,0,0,0,5,5,0,4,0,0,5,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,0,0,0
27,0,4,4,2,4,4,0,4,3,4,5,5,4,0,0,4,5,0,0,5,0,0,0,4,4,0,5,0,0,4,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,0,0,0,0
28,0,4,4,2,4,4,0,4,4,5,5,5,4,0,0,4,5,0,0,5,0,0,0,5,4,0,5,0,0,5,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,0
29,0,3,3,1,2,4,0,5,5,5,5,4,4,0,0,4,5,0,0,5,0,0,0,5,5,0,5,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0,0,4,5,5,0,0,0,0
30,0,2,3,2,4,4,0,4,4,4,4,4,4,0,0,4,6,0,0,4,0,0,0,4,5,0,5,0,0,5,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,0,0,5,4,4,1,1,0,0
31,0,1,5,3,4,4,0,4,4,4,3,4,4,0,0,4,4,0,0,4,0,0,0,4,4,0,4,0,0,4,0,0,0,4,4,0,0,0,0,1,0,0,0,0,4,0,0,4,3,4,4,4,0,0
32,0,2,3,3,3,2,0,3,4,4,4,4,4,0,0,3,4,0,0,4,0,0,0,4,4,0,3,0,0,4,0,0,0,4,4,0,0,0,0,5,0,0,0,0,4,0,0,4,4,4,5,4,0,0
33,0,3,2,3,3,3,0,3,3,4,4,4,4,0,0,3,4,0,0,4,0,0,0,4,4,0,4,0,0,4,0,0,0,4,4,0,0,0,0,4,0,0,0,0,4,1,0,4,4,4,4,4,0,0
34,0,3,3,3,3,3,0,3,3,3,3,4,4,0,0,3,4,0,0,4,0,0,0,3,4,0,4,0,0,4,0,0,0,4,4,0,0,0,0,4,0,0,0,0,4,4,0,4,3,4,4,4,0,0
35,0,3,3,2,3,4,0,6,2,3,3,3,4,0,0,3,4,0,0,3,0,0,0,4,4,0,3,0,0,4,0,0,0,3,4,0,0,0,0,4,0,0,0,0,4,4,1,4,3,4,4,4,0,0
36,0,3,2,3,3,3,0,4,3,4,3,4,4,0,0,4,2,0,0,3,0,0,0,3,4,0,4,0,0,4,0,0,0,3,4,0,0,0,0,3,0,0,0,0,4,4,4,4,3,4,4,3,0,0
