,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,6.22,11.06,11.06,12.5,14.66,14.36,16.24,20.12,27.32,26.4,28.62,27.66,32.26,35.3,35.02,37.1,37.56,40.06,38.94,39.02,39.36,39.74,40.24,41.22,36.64,35.96,41.86,41.78,42.18,44.74,46.76,51.1,51.72,50.82,52.02,54.98,65.0,72.82,79.5,83.24,83.16,85.58,89.5,97.84,105.8,106.92,106.68,116.64,132.34,144.52,150.88,155.78,166.1,177.16,179.48,191.46,200.16,204.64,208.44,225.64,240.56,244.84,252.78,253.08,254.3,254.8,264.92,273.14,281.4,296.46,300.78,299.2,299.74,300.7,302.46,303.74,321.4,337.56,341.78,338.54,344.02,349.66,357.9,364.72,366.04,367.14,379.28,396.04,409.72,415.16,425.94,431.4,435.36,435.26,437.96,441.28,444.18,445.54,441.82,444.24,446.26
1,6.24,11.0,11.28,10.46,9.1,10.12,10.44,10.0,10.32,13.58,13.16,17.16,19.2,17.74,17.3,17.26,17.7,17.86,20.82,18.7,18.04,19.28,19.46,19.52,21.26,19.44,18.12,19.8,21.06,21.46,22.26,25.18,27.24,25.04,28.02,28.14,28.22,32.8,31.18,29.76,33.6,37.48,37.54,38.98,38.08,38.7,36.36,39.22,43.56,53.46,59.82,73.38,85.94,96.7,92.12,104.38,103.74,120.78,136.12,141.4,139.36,141.38,139.96,140.58,145.48,146.46,153.56,157.2,161.12,168.72,173.66,181.74,188.9,186.14,190.92,192.12,191.74,194.58,195.12,196.86,197.78,203.96,211.58,212.0,214.06,212.08,213.82,213.36,214.88,216.52,214.88,216.3,213.96,213.82,217.1,220.32,221.72,224.16,223.5,224.4,224.36
2,6.2,10.84,7.52,11.22,11.16,14.38,16.22,17.22,27.0,32.78,40.0,40.02,45.86,54.32,53.24,59.52,59.34,58.92,63.02,59.86,60.46,67.62,68.76,69.52,68.96,73.64,72.06,76.12,80.14,82.24,84.18,86.28,83.94,83.66,84.86,85.12,87.14,85.72,85.38,86.34,90.5,95.88,100.14,108.08,118.86,131.48,144.98,145.7,148.68,151.54,151.22,136.78,161.2,141.06,152.74,135.08,158.22,164.1,151.22,168.72,172.66,155.44,157.84,168.94,159.66,172.48,160.7,161.96,158.16,158.16,159.12,161.2,158.4,180.44,173.44,172.36,182.32,176.24,180.42,188.92,183.96,192.18,189.86,185.94,186.52,204.12,202.12,213.06,215.04,216.52,226.34,224.16,223.58,226.9,235.72,231.58,233.12,236.1,249.98,265.42,265.68
3,6.22,10.9,9.32,10.36,10.34,10.64,10.82,10.42,10.56,13.46,14.5,13.5,14.32,13.5,14.84,13.56,13.62,15.3,14.44,14.68,14.34,14.62,14.44,14.44,14.5,13.98,16.66,17.4,17.88,20.08,20.54,20.16,20.22,20.56,20.42,20.26,20.38,20.26,21.76,20.7,23.56,23.5,22.8,23.32,22.94,23.14,23.3,23.14,24.08,23.16,23.3,23.88,25.2,22.9,23.06,23.68,23.28,23.18,25.0,23.54,23.44,23.44,23.4,22.62,23.24,24.56,22.96,24.68,23.48,25.84,23.48,23.42,23.66,23.28,23.18,23.14,22.9,23.78,26.16,26.1,29.8,34.34,33.84,36.5,30.6,36.14,32.56,36.92,40.38,37.0,44.7,40.0,49.16,58.2,66.42,74.32,72.52,82.94,87.98,89.8,93.12
4,6.22,11.34,11.56,13.92,16.34,15.56,16.24,17.32,16.88,18.82,17.24,18.5,21.54,17.58,18.96,20.92,20.82,20.92,20.82,21.84,20.78,20.82,24.22,23.1,24.18,24.46,20.94,21.88,20.9,20.88,21.7,20.88,20.92,20.78,20.86,20.82,20.44,20.86,21.06,22.6,22.44,24.64,24.16,27.34,26.2,28.44,28.7,29.48,27.66,28.94,34.7,35.24,37.16,36.06,36.88,43.64,42.66,44.32,44.32,46.86,43.64,48.48,45.16,45.76,49.34,49.54,47.9,52.62,52.8,57.78,67.5,70.14,72.96,76.6,76.78,81.2,77.5,77.84,81.0,87.0,96.92,105.26,110.54,112.16,113.2,112.54,116.78,116.42,121.1,121.94,128.3,135.6,138.4,135.64,145.36,159.3,165.28,168.38,178.08,182.64,190.08
5,6.2,11.26,9.44,10.7,9.78,11.78,11.66,16.14,15.72,17.94,18.7,18.54,21.88,23.86,27.16,29.12,33.62,33.4,44.32,49.26,65.52,72.62,93.82,116.78,134.42,147.14,161.94,166.84,170.2,178.8,192.12,195.54,203.44,213.08,230.56,254.56,266.8,267.08,294.84,322.52,332.18,344.98,363.22,382.14,392.3,407.88,430.18,461.3,490.3,509.54,528.5,565.42,592.22,607.52,613.34,643.8,663.26,672.78,678.92,681.5,685.06,685.24,684.4,684.28,683.68,680.72,681.22,678.52,680.42,684.56,684.42,683.0,685.34,688.76,691.68,693.36,695.3,710.62,724.46,728.64,731.9,729.32,728.68,729.52,733.82,731.24,741.92,747.84,749.78,757.74,764.98,765.82,769.6,768.76,769.1,771.32,772.68,777.72,777.32,775.62,774.44
6,6.22,11.28,18.16,25.74,32.64,33.18,41.16,41.72,38.32,39.06,43.92,44.08,45.72,46.5,41.4,46.98,46.84,46.16,51.84,51.0,53.18,48.82,49.4,52.14,59.76,70.5,85.12,79.58,102.92,106.28,108.8,117.28,115.54,130.96,128.26,128.32,134.44,142.26,151.68,157.32,156.28,162.78,180.44,198.46,204.42,205.88,208.76,217.52,231.54,239.92,240.58,251.86,263.44,266.1,270.06,272.56,280.72,284.94,286.38,294.14,306.54,319.34,328.58,333.58,334.8,337.06,333.0,338.4,334.48,337.44,340.52,349.14,346.9,352.38,353.62,360.7,367.88,373.08,375.98,381.6,385.8,387.38,394.04,395.02,392.26,393.96,392.54,393.62,393.08,393.56,393.84,392.22,391.76,392.68,393.38,394.16,393.96,392.54,393.54,391.88,391.6
7,6.22,10.84,16.78,17.34,15.08,15.12,15.76,15.66,15.84,15.68,16.66,15.32,15.16,15.08,15.34,16.98,15.26,15.6,19.7,18.22,18.22,18.2,19.16,19.78,21.34,18.46,19.48,20.98,18.16,18.04,21.72,20.04,20.28,17.96,21.28,22.4,20.86,19.98,20.38,19.12,20.44,19.0,20.3,20.84,20.04,20.64,18.12,20.06,19.76,20.56,21.02,18.2,19.44,19.66,20.48,20.0,18.22,20.68,20.58,20.34,20.14,20.98,20.08,20.32,21.02,21.18,19.88,20.3,18.26,19.52,19.7,18.14,22.0,20.66,25.46,25.34,27.38,33.2,35.3,38.32,39.88,42.72,49.72,74.22,97.88,90.92,109.8,121.6,122.86,130.64,142.92,141.6,160.04,160.52,175.52,182.3,183.08,187.88,211.06,218.12,221.4
8,6.2,11.16,11.06,11.82,11.88,12.22,12.56,14.58,13.46,13.26,13.94,14.72,14.54,14.62,14.62,14.98,16.6,19.3,19.98,21.48,21.8,23.28,23.94,23.04,23.2,23.02,23.4,26.74,28.22,35.8,36.04,40.06,61.56,72.38,89.08,118.46,145.82,168.84,188.68,203.04,216.98,237.26,250.88,264.86,281.76,292.04,328.14,369.4,416.58,430.42,462.76,480.86,504.16,536.42,535.4,549.06,552.26,603.16,580.0,606.1,647.42,686.76,714.08,722.82,741.4,757.38,760.74,765.06,766.74,770.8,771.98,776.16,784.86,765.74,763.64,760.48,764.12,766.02,770.64,767.54,779.74,767.92,772.28,768.48,772.3,776.42,772.3,788.98,772.04,773.24,801.28,778.22,812.66,800.54,812.08,809.58,805.7,809.72,824.02,826.26,828.7
9,6.22,11.46,11.22,11.24,10.24,10.28,10.08,10.16,9.92,10.22,10.22,10.08,9.76,9.4,9.66,10.36,10.7,11.7,11.84,11.88,11.84,11.84,11.88,11.84,13.62,11.82,11.7,11.94,13.84,11.94,11.88,13.4,13.26,11.84,13.48,13.38,12.54,12.64,13.84,16.98,19.8,21.14,24.88,27.72,27.7,31.36,29.7,30.42,31.5,29.44,28.28,30.88,34.22,36.6,36.92,39.96,40.74,48.46,49.38,51.16,56.9,63.24,76.02,80.44,87.48,106.9,114.76,121.48,127.84,126.42,145.24,164.68,168.26,171.06,175.24,180.66,181.9,198.44,209.42,212.74,230.14,242.58,260.82,274.14,280.82,290.32,294.02,300.04,299.3,299.72,303.78,305.46,303.98,303.32,304.18,302.32,303.84,303.98,301.08,302.46,303.92
