,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,1,9,23,3,3,29,33,9,43,39,43,49,61,57,29,25,37,25,25,25,35,35,53,49,37,57,85,85,81,81,93,93,93,93,103,107,165,149,125,115,137,129,173,147,167,173,183,197,207,215,207,217,239,239,247,261,263,261,281,299,297,321,321,323,319,317,375,375,391,391,377,373,365,365,375,389,389,411,411,415,425,443,473,471,493,493,493,493,493,513,483,485,485,481,515,529,527,527,527,527,527
1,1,3,5,5,5,5,9,31,15,11,39,39,39,31,31,31,31,39,31,37,37,37,37,37,37,37,37,43,43,45,47,55,55,49,49,49,49,51,51,59,57,59,59,65,65,75,81,75,109,123,151,157,167,167,185,185,185,207,181,187,191,193,193,195,187,219,223,223,225,243,239,249,239,233,237,233,239,241,229,231,271,279,281,279,279,279,279,281,281,281,279,237,279,269,269,261,269,267,269,269,269
2,1,3,15,13,27,33,33,57,71,91,35,41,67,75,75,67,91,91,81,81,93,95,89,87,89,89,91,91,91,91,97,93,95,95,95,91,91,105,105,109,137,137,169,211,137,217,145,143,145,143,139,211,211,219,219,231,231,239,239,239,239,239,215,217,211,219,219,219,225,227,227,239,239,251,251,251,251,251,249,249,251,251,247,251,251,251,277,277,281,281,281,281,279,285,285,287,287,287,347,287,273
3,1,9,11,9,11,15,15,15,25,19,17,21,21,21,21,21,21,21,21,21,21,21,21,21,21,43,31,31,41,41,41,41,41,49,49,49,49,49,49,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,55,63,61,65,65,53,53,53,61,83,63,99,67,65,65,69,125,135,133,159,163,135,153,141
4,1,1,25,29,29,29,23,23,23,23,23,23,23,35,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,45,45,45,51,41,43,43,47,47,47,55,57,57,73,73,73,55,63,71,69,67,83,63,69,75,75,105,89,71,73,115,121,119,123,111,119,151,109,121,121,185,185,123,135,185,181,183,185,187,163,163,213,213,213,213,233,251,251,247,269,269,269
5,7,7,11,5,19,19,27,27,33,33,31,43,57,63,29,27,71,101,101,115,109,155,145,163,193,257,259,259,255,297,295,339,353,353,429,415,411,425,491,495,493,493,497,495,529,607,609,623,633,635,637,703,703,641,699,731,765,775,775,775,775,751,673,673,673,675,675,677,719,719,719,767,753,775,747,717,713,815,757,755,755,757,753,763,779,775,881,837,841,839,839,845,845,837,843,851,855,855,843,843,841
6,1,55,31,59,59,57,33,21,33,61,31,69,71,71,65,65,63,79,75,81,73,87,87,87,89,151,139,131,129,133,131,179,183,193,191,233,231,245,243,243,247,247,291,289,291,285,285,309,311,311,313,349,347,351,357,345,343,361,391,393,393,421,427,425,423,423,423,423,421,425,467,467,465,467,495,515,515,517,517,503,503,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499
7,31,3,33,5,5,7,7,7,7,7,11,15,15,15,21,21,21,41,33,33,33,33,33,23,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,37,43,43,45,47,59,85,85,85,165,169,173,173,179,197,201,199,209,207,205,231,229,217,233,251,245,283,287,283
8,15,15,13,11,11,11,15,11,17,19,21,19,25,25,25,45,37,43,27,27,25,25,25,25,23,41,41,65,109,43,65,103,103,169,199,219,219,331,373,397,395,457,393,463,393,407,607,619,607,667,665,669,679,679,677,679,689,691,697,711,871,889,889,889,899,891,893,877,901,881,887,889,891,889,901,869,873,869,871,871,893,893,893,893,887,889,891,883,889,883,881,901,893,875,875,905,901,921,923,923,921
9,1,3,3,5,7,5,5,5,5,5,5,5,7,9,13,17,19,19,19,19,19,19,19,19,19,19,19,15,15,15,15,15,15,15,15,21,21,21,41,43,31,53,55,51,53,55,57,41,43,43,45,47,49,69,75,83,87,79,79,87,101,123,119,181,227,223,231,225,229,217,261,225,223,231,253,253,253,287,287,287,241,247,347,347,327,331,365,343,343,343,339,345,335,341,337,337,335,335,327,325,333
10,1,7,7,17,17,15,15,15,15,31,41,59,41,39,43,61,67,65,93,93,89,95,95,147,147,157,185,173,229,229,247,245,249,247,247,207,207,197,193,193,191,223,219,219,219,257,271,239,269,255,253,253,255,249,257,261,257,267,277,277,277,275,295,293,291,291,291,289,339,297,291,291,289,293,293,293,283,295,323,333,321,293,337,355,345,343,359,359,359,355,353,359,359,347,341,347,347,343,343,349,355
11,1,3,3,5,11,33,33,33,25,25,25,27,27,27,27,27,27,27,27,27,47,45,61,69,69,73,69,73,81,79,125,133,125,125,139,139,149,153,153,203,165,167,275,197,261,197,209,209,215,223,217,227,225,227,233,231,235,229,253,255,261,257,259,255,321,259,259,259,275,273,283,297,281,289,299,299,299,299,307,347,361,359,411,411,405,431,429,429,435,455,447,447,445,457,509,457,451,457,495,495,425
12,1,1,5,25,25,25,25,25,25,31,31,31,31,31,31,31,45,45,45,51,47,47,53,53,59,59,59,49,55,55,73,81,57,63,59,59,63,59,59,61,61,93,125,125,129,127,129,167,127,133,133,175,179,201,267,271,125,127,277,127,127,127,127,125,143,163,153,177,167,169,191,193,193,197,197,169,203,203,245,245,255,261,233,223,223,229,233,235,235,229,241,243,277,245,247,301,245,281,281,281,285
13,15,13,15,23,33,5,23,23,23,23,39,41,41,47,31,25,45,43,43,39,21,25,25,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
14,1,1,39,21,21,23,25,47,27,29,29,25,57,35,35,37,73,81,81,79,79,101,93,93,91,91,95,103,103,103,103,105,113,115,117,117,117,117,117,123,123,123,143,83,83,113,113,113,135,135,135,143,141,141,141,129,121,123,121,117,121,121,121,123,121,121,123,135,135,137,139,139,137,117,121,125,127,141,149,147,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
15,1,3,15,11,27,19,17,27,29,29,27,29,31,31,29,29,41,39,41,37,41,41,41,43,61,67,69,69,87,83,83,107,101,101,101,101,99,97,109,109,127,127,135,145,147,147,145,145,161,161,159,161,165,165,165,165,165,177,181,179,179,185,213,353,355,355,355,357,375,371,375,375,375,375,383,413,413,413,453,451,455,445,509,505,509,511,511,515,501,497,495,483,481,477,467,465,467,475,473,475,475
16,31,33,45,65,53,53,47,63,61,63,79,31,31,39,39,51,53,55,69,73,87,91,91,83,83,111,107,101,117,139,139,149,145,141,145,145,145,145,147,145,125,147,153,153,151,151,151,185,183,201,201,215,215,219,233,223,223,317,317,321,321,321,327,321,321,323,325,339,319,325,333,333,323,339,343,341,361,377,359,359,359,395,407,401,401,423,435,441,433,389,389,389,385,395,407,421,435,435,431,443,445
17,1,1,5,7,7,5,5,5,7,7,7,15,19,29,33,19,27,27,27,27,25,25,49,49,57,57,57,57,47,65,59,49,59,59,49,49,49,53,53,49,49,47,47,77,77,71,71,71,71,65,109,141,115,145,155,155,229,229,159,215,211,213,211,213,243,241,243,241,205,207,207,217,255,257,253,277,257,271,269,291,307,311,311,331,317,331,319,283,283,281,281,293,293,323,343,285,285,325,323,323,327
18,3,3,5,5,11,11,17,17,21,19,15,21,21,19,19,19,35,13,13,17,17,17,17,17,17,17,17,17,17,17,17,25,33,33,25,25,25,25,27,33,31,35,59,59,65,73,67,75,73,105,69,129,123,123,121,121,121,143,143,151,201,147,147,163,149,149,155,151,145,141,169,167,167,167,185,177,187,183,191,213,213,213,235,241,235,235,261,263,275,275,275,261,261,277,277,275,285,285,301,305,309
19,1,7,13,13,7,15,23,25,27,25,25,25,37,31,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
20,1,3,29,5,3,25,15,33,17,31,29,29,29,29,29,29,29,33,33,33,33,37,37,25,27,61,25,25,39,37,39,39,69,67,77,45,45,49,69,71,49,79,77,119,121,125,101,105,101,107,99,131,99,97,97,149,99,177,99,125,119,187,123,123,129,121,123,119,109,107,107,163,159,159,157,159,227,157,155,243,247,245,243,209,211,209,209,209,211,215,265,285,285,259,289,281,289,289,277,337,355
21,3,29,3,3,29,31,29,29,27,27,27,27,43,45,45,45,55,47,47,43,53,37,47,45,47,53,47,47,47,43,57,41,45,33,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,61,61,69,69,77,49,49,49,49,49,49,25,27,27,31,31,31,31,31,31,31,31,31,31,59,59,61,43,111,113,113,179,121,119,119,131,133,137,135,145,145,143
22,1,1,15,15,21,33,33,33,31,41,35,37,37,37,65,65,63,65,65,65,69,69,65,71,71,95,95,93,93,123,123,143,129,131,131,131,129,125,127,127,129,131,131,131,131,129,127,139,137,141,141,141,117,125,127,145,139,139,141,137,151,151,157,155,155,155,157,149,151,151,155,159,149,149,149,151,153,157,157,177,155,177,175,185,187,191,191,193,193,195,193,199,199,197,197,197,191,187,185,185,185
23,3,3,3,3,5,7,9,9,15,15,15,19,19,27,33,33,43,63,63,59,71,69,79,79,79,83,93,95,159,159,189,161,183,195,177,217,211,211,209,209,211,209,255,255,259,255,263,307,245,245,415,413,413,411,371,373,371,339,377,415,421,397,413,397,401,393,391,375,375,371,383,389,383,381,411,437,425,451,471,495,431,429,441,441,439,445,445,445,453,475,477,477,483,481,479,475,475,479,503,433,431
24,1,1,5,3,3,17,17,17,23,23,23,23,39,69,63,69,91,99,93,91,89,89,91,91,123,85,83,83,83,83,83,81,81,109,111,109,87,87,105,95,89,89,89,117,117,87,113,117,115,119,119,133,121,121,127,121,123,137,137,135,137,135,167,167,161,157,167,167,165,165,153,151,151,145,155,159,159,137,161,155,159,157,157,159,163,159,155,159,161,161,167,167,167,165,171,169,171,171,169,169,161
25,31,31,31,31,31,31,7,7,7,7,7,7,7,7,7,7,7,7,21,23,23,23,23,29,29,29,39,37,37,37,35,43,65,79,51,51,53,81,81,79,87,85,89,91,89,103,161,105,117,115,131,113,111,105,105,103,111,113,107,115,115,115,151,151,153,145,151,149,149,149,149,149,147,157,157,157,149,185,149,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189
